Issue,Category,Status,Action,PR References,Session,Notes
29,Testing,,,#1244;#918;#1243;#728;#229,,
30,Feature,,,#1202;#1204;#1218;#1030;#1235,,
32,Feature,,,#1037;#899;#895;#260;#161,,
33,Infrastructure,,,#834;#700;#886;#108,,
34,Feature,,,#1036;#870;#867;#798;#349,,
47,Testing,,,#904;#511,,
48,Testing,,,#1186;#121;#358;#514;#275,,
49,Testing,,,#1154;#745,,
50,Security,,,#1125;#1137;#1156;#991;#1138,,
52,Testing,,,#525;#75;#108,,
63,Testing,,,#884;#136;#637,,
66,Testing,,,#884;#838;#645;#67;#108,,
72,Security,,,#386,,
73,Security,,,#389,,
74,Security,,,#1138;#57,,
77,Security,,,#854,,
84,Code Quality,,,#954;#719,,
87,Code Quality,,,#442;#637,,
94,Code Quality,,,#700;#689;#676;#606,,
95,Feature,,,#1249;#594;#248,,
97,Code Quality,,,#511;#951;#752,,
98,Code Quality,,,#1143;#700;#637;#21;#41,,
99,Code Quality,,,#700;#89,,
103,Documentation,,,#1215,,
109,Infrastructure,,,#110,,
111,Code Quality,,,#228;#116,,
112,Code Quality,,,#1195;#228,,
114,Code Quality,,,#595;#116,,
119,Documentation,,,#641,,
120,Code Quality,,,#958;#411;#59,,
127,Code Quality,,,#275;#57;#229,,
139,Code Quality,,,#593;#150,,
140,Code Quality,,,#640,,
142,Code Quality,,,#1227,,
146,Code Quality,,,#1227,,
168,Security,,,#275;#229,,
169,Security,,,#275;#229,,
170,Security,,,#1229,,
172,Security,,,#1234;#275;#229,,
175,Code Quality,,,#373,,
177,Code Quality,,,#1237;#1238,,
178,Code Quality,,,#1212,,
179,Code Quality,,,#373,,
180,Security,,,#1156;#752,,
182,Code Quality,,,#835,,
186,Code Quality,,,#934,,
188,Code Quality,,,#884,,
192,Feature,,,#1207;#886;#197;#275;#229,,
193,Feature,,,#373;#197,,
194,Feature,,,#197,,
195,Feature,,,#197,,
196,Feature,,,#197;#278,,
207,Security,,,#209,,
208,Security,,,#209,,
211,Testing,,,#75,,
212,Security,,,#1015;#863;#108,,
214,Security,,,#71,,
218,Security,,,#71,,
223,Code Quality,,,#71,,
226,Code Quality,,,#225;#228,,
227,Code Quality,,,#228;#71;#225,,
230,Code Quality,,,#71;#234,,
233,Code Quality,,,#71;#234,,
235,Code Quality,,,#89;#71,,
236,Code Quality,,,#1229;#100;#89,,
237,Testing,,,#71,,
238,Code Quality,,,#108,,
244,Code Quality,,,#248;#275,,
245,Security,,,#1025,,
254,Security,,,#1158;#1229;#275;#229,,
256,Security,,,#1002;#1000,,
259,Security,,,#1229,,
264,Code Quality,,,#71,,
266,Code Quality,,,#248,,
272,Code Quality,,,#71,,
274,Security,,,#275,,
